repository,markdown_path,github_url,human_decision,llm_decision,outcome,confidence,model_reason,quote,human_note
agronholm/anyio,AGENTS.md,https://github.com/agronholm/anyio/blob/003e5d6bc3eba8f4e75bf2b2b5fb3f7dd11e6330/AGENTS.md,pass,not_found,false_negative,9,"The document contains PR/work instructions and generic Python style guidance. Although it says to always add the future import, that is a language-general coding practice rather than a concrete specification tied to a maintained source/test path or project-defined identifier; the PR, test-checklist, and changelog statements are out of scope.",,
autonumeric/autonumeric,doc/CONTRIBUTING.md,https://github.com/autonumeric/autonumeric/blob/7e7a2c3a5a03fc7ea4899f046b411926f831e82f/doc/CONTRIBUTING.md,pass,not_found,false_negative,9,"The document provides contribution workflow, testing, linting, branching, and commit instructions. Its requirements govern contributor actions, test execution results, or commit contents rather than a persistent content or structural rule for maintained source or test code with a qualifying concrete specification.",,
carbon-design-system/carbon,AGENTS.md,https://github.com/carbon-design-system/carbon/blob/79d912be2d8af31bacd73944075bab4944ef56e0/AGENTS.md,pass,not_found,false_negative,10,"No passage states a persistent requirement, prohibition, recommendation, or permission that directly governs maintained source or automated test code with a concrete code specification. The content mainly describes repository state, workflow methods, documentation, pull requests, runtime tooling, package relationships, and end-user guidance.",,
carbon-design-system/carbon,docs/developer-handbook.md,https://github.com/carbon-design-system/carbon/blob/79d912be2d8af31bacd73944075bab4944ef56e0/docs/developer-handbook.md,pass,not_found,false_negative,9,"No passage explicitly states a persistent rule for maintained source or test code together with a concrete specification. The component-location statements merely describe placement, while the explicit requirements elsewhere govern commits, workflows, runtime behavior, assets, documentation, or configuration.",,
carbon-design-system/carbon,packages/themes/src/dtcg/README.md,https://github.com/carbon-design-system/carbon/blob/79d912be2d8af31bacd73944075bab4944ef56e0/packages/themes/src/dtcg/README.md,pass,not_found,false_negative,9,"The normative-looking passages govern DTCG token JSON contents and contributor/build/documentation work, not maintained source code or automated test code. The remaining statements describe the current token structure or give one-time build and validation instructions, so no in-scope persistent code rule with a concrete specification is established.",,
carbon-design-system/carbon,packages/web-components/src/coding-conventions.md,https://github.com/carbon-design-system/carbon/blob/79d912be2d8af31bacd73944075bab4944ef56e0/packages/web-components/src/coding-conventions.md,pass,not_found,false_negative,9,"The document mostly describes current implementation practices or runtime/user behavior. Its direct advice, such as null handling, uses only generic language syntax, while the other convention-like passages lack an explicit persistent rule tied to a concrete maintained source or test identifier or path.",,
clerk/javascript,AGENTS.md,https://github.com/clerk/javascript/blob/3088d7d2f0042c4c84af81ab622cc995df99ce1d/AGENTS.md,pass,not_found,false_negative,9,"No passage both governs maintained source or test code and provides a qualifying concrete specification. The compatibility and API statements concern runtime compatibility or major-version release policy, while the other rules concern tooling, PRs, commits, changesets, or generic comment style; the comment rule has no specific source path, identifier, naming pattern, fixed value, or compatibility target.",,
destinyitemmanager/dim,docs/CONTRIBUTING.md,https://github.com/destinyitemmanager/dim/blob/2c2ec8563c5f6c042e212cc8b7ed0bca3581e00f/docs/CONTRIBUTING.md,pass,not_found,false_negative,9,"No passage states a persistent rule for maintained source or automated test code with a qualifying concrete specification. The document mainly covers PRs, setup, runtime use, and tooling; its explicit prohibition concerns the localization JSON file `src/locale/en.json`, not source or test code.",,
kubernetes-client/python,CONTRIBUTING.md,https://github.com/kubernetes-client/python/blob/cac97ce26896ab8b55fc7e20431f0b70c89be7e1/CONTRIBUTING.md,pass,not_found,false_negative,9,"No passage states a persistent, explicit rule governing maintained source or test code with a concrete specification. The apparent instructions concern contributor workflow, dependency manifests, formatter use, test execution, or descriptive test locations and naming.",,
module-federation/core,arch-doc/implementation-guide.md,https://github.com/module-federation/core/blob/641a0b6edc0f30865586e7d021522bfa27051c4c/arch-doc/implementation-guide.md,pass,not_found,false_negative,9,"No natural-language passage both establishes a persistent rule for maintained source or test code and provides a concrete code specification. The prose is implementation routing, prerequisites, one-time workflow guidance, current-state description, or runtime behavior, while the code blocks and comments cannot independently establish such a rule.",,
openlayers/openlayers,DEVELOPING.md,https://github.com/openlayers/openlayers/blob/140be96d1712cabf4f4e1d1dcc06d68500bfc34b/DEVELOPING.md,pass,not_found,false_negative,9,"The document provides developer setup, tool/editor configuration, testing and runtime instructions, and descriptions or one-time guidance for examples and package linking. It does not explicitly state a persistent rule governing maintained source or test code with a concrete specification.",,
puppeteer/puppeteer,docs/contributing.md,https://github.com/puppeteer/puppeteer/blob/33566d2dbb6485a459b9fc3826914b986c08e01e/docs/contributing.md,pass,not_found,false_negative,9,"No passage satisfies all YES conditions. The document mainly gives contributor, documentation, dependency, testing-process, runtime, or one-time maintenance instructions; the code-style statements are generic practices or govern documentation comments rather than a concrete persistent rule for maintained source or test code.",,
