repository,markdown_path,github_url,human_decision,llm_decision,outcome,confidence,model_reason,quote,human_note
agronholm/anyio,AGENTS.md,https://github.com/agronholm/anyio/blob/003e5d6bc3eba8f4e75bf2b2b5fb3f7dd11e6330/AGENTS.md,pass,not_found,false_negative,9,"The document contains PR/work instructions and generic Python style guidance. Although it says to always add the future import, that is a language-general coding practice rather than a concrete specification tied to a maintained source/test path or project-defined identifier; the PR, test-checklist, and changelog statements are out of scope.",,
apache/incubator-kie-drools,drools-drl/drools-drl-parser/Developer_Notes.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-drl/drools-drl-parser/Developer_Notes.md,pass,pass,true_positive,8,This imperative establishes a recurring naming rule for maintained parser grammar source: conflicting rules in `DRLParser.g4` must use the concrete `drl` prefix.,"In `DRLParser.g4`, define parser rules with a prefix ""drl"" if the rule name conflicts with `JavaParser.g4`.",
apache/incubator-kie-drools,drools-drlonyaml-parent/README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-drlonyaml-parent/README.md,not_found,not_found,true_negative,10,"The README only describes an experimental bidirectional translation capability and provides an example; it does not state a persistent requirement, prohibition, recommendation, or permission governing maintained source code or test code.",,
apache/incubator-kie-drools,drools-impact-analysis/README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-impact-analysis/README.md,not_found,not_found,true_negative,10,"The content is a usage README. Its instructions concern users adding dependencies, calling APIs, generating graphs, and installing Graphviz, rather than persistent requirements for maintained source code or automated test code.",,
apache/incubator-kie-drools,drools-metric/README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-metric/README.md,not_found,not_found,true_negative,10,"The README provides instructions for users to enable metric logging, configure a system property and logger, run Drools, and use ReteDumper. It does not state a persistent rule governing maintained source code or automated test code.",,
apache/incubator-kie-drools,drools-model/drools-mvel-compiler/README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-model/drools-mvel-compiler/README.md,not_found,not_found,true_negative,9,"The README describes compiler behavior, assumptions, transformations, and a runtime classloader prerequisite. It does not state an explicit persistent rule governing maintained source or test code with a concrete specification.",,
apache/incubator-kie-drools,drools-mvel/README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-mvel/README.md,not_found,not_found,true_negative,10,"The README describes the module's purpose, current architecture, class locations, service discovery, and runtime behavior. It does not explicitly state a persistent requirement, prohibition, recommendation, or permission governing maintained source or test code.",,
apache/incubator-kie-drools,drools-reliability/README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-reliability/README.md,not_found,not_found,true_negative,10,"The README provides user-facing usage instructions, dependency and session-creation examples, runtime Infinispan configuration, and commands for running tests. It does not state a persistent requirement, prohibition, recommendation, or permission governing maintained source code or automated test code with a concrete code specification.",,
apache/incubator-kie-drools,drools-retediagram/README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-retediagram/README.md,not_found,not_found,true_negative,10,"The README provides usage instructions, runtime configuration guidance, and illustrative examples. It does not state a persistent rule governing maintained source code or automated test code.",,
apache/incubator-kie-drools,drools-scenario-simulation/drools-scenario-simulation-backend/Developer_Guide.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-scenario-simulation/drools-scenario-simulation-backend/Developer_Guide.md,not_found,not_found,true_negative,9,"The document describes the engine, runners, helper classes, and their current implementation and purpose. It does not explicitly state a persistent requirement, prohibition, recommendation, or permission for maintained source or test code with a concrete specification.",,
