repository,revision,split,status,evidence_path,evidence_quote,rationale
asamk/signal-cli,64a629002d078e84bd6bbfb550c1a81a4aa0a8ac,calibration,not_found,,,The complete evidence only requests matching existing style and optionally using an unnamed IDE formatter; neither is a concrete coding rule or named standard.
FabricMC/fabric-api,3e8afef37972285085fd0f7e414bcfcca487ed3c,calibration,pass,CONTRIBUTING.md,"Accessor mixins should be named **Target**Accessor, other mixins should be named **Target**Mixin, where `Target` is the target class name.",The contributing guide states a concrete naming rule for source classes.
prestodb/presto,4fc4ebe04d7fdc1061d71ad11d020cb145b20717,calibration,pass,CONTRIBUTING.md,Do not use random values in tests. All tests should be reproducible.,The contributing guide states a concrete reproducibility rule for test code.
Arcticons-Team/Arcticons,471a11cb51f5e62003c42fb557588f72494c05bb,calibration,not_found,,,The supplied document only points to a generic external contribution guide and provides no code-specific context.
ben-manes/caffeine,0f9cf9d1b6cce6de326443820b820b015ffb0ddb,calibration,not_found,,,The supplied document points to an external build-system contribution page but provides no coding-rule context.
gnmyt/Nexterm,172a63bedd41a1b16f089cb6fa5827c12cc5599a,calibration,not_found,,,The contributor document contains setup and workflow instructions plus only a vague request to follow existing style.
open-gsd/gsd-core,46ba02acde4c36fd025b7f507ead725f892717e9,calibration,pass,CONTRIBUTING.md,A regression test is required.,The contribution rules impose a concrete test requirement for bug fixes.
gsd-build/get-shit-done,bdcaab2c752d9a33a1a1ca9acf3a3c81fb991815,calibration,pass,CONTRIBUTING.md,A regression test is required.,The contribution rules impose a concrete test requirement for bug fixes.
brookhong/surfingkeys,e4152e9ea5bd4d7381afd7e65c10ff38534fb15b,calibration,not_found,,,The complete evidence contains issue reporting and build or loading instructions but no source-code or test-code rule.
ChatGPTBox-dev/chatGPTBox,bc0eb0a97fa3c439be4d88f14d191d7f5c09bf93,calibration,review,.github/CONTRIBUTING.md,See https://github.com/ChatGPTBox-dev/chatGPTBox/wiki/Development&Contributing,The repository points to an external development guide whose possible coding rules are absent from the supplied documents.
intelrealsense/realsense-ros,bafc21080c5c8e259dadbb309797949aee0dd950,calibration,pass,CONTRIBUTING.md,For indentation we are using spaces and not tabs,The contribution guide imposes a concrete whitespace rule on source and example files.
intel/cve-bin-tool,b605e46e8acdb6b1a596c85ca966d38f8bde68e8,calibration,pass,cve_bin_tool/checkers/README.md,Every checker class must contain the vendor and product name pair(s),The checker contribution guide states a concrete class-content requirement.
python-markdown/markdown,bb50627dc07fde6ee5ed7478464062c537ebad2c,calibration,pass,docs/contributing.md,all pull requests should follow Python's standard [PEP8,The code-style section explicitly adopts PEP 8 for project contributions.
Azure/Azure-Sentinel,e7ce9ee909eb15cd52611ec1a664846991459d26,calibration,pass,.script/ReadMe.md,Create tests file. File name format: TestedFileName.test.ts,The repository test guidance imposes a concrete naming rule for new test files.
browser-use/browser-use,f0aa3a8bb03779c71a5aa262d389e3bfe6b77cdc,calibration,pass,browser_use/llm/oci_raw/README.md,Add tests for new features,The module contribution section requires tests for new implementation features.
datopian/portaljs,2aa615f689de9a799b30017980091189fba630f6,calibration,pass,CONTRIBUTING.md,This repository uses eslint for code linting and prettier for code formatting.,The contributor developer document identifies the named external tools governing project code.
aws/aws-cdk,d741aded998e5db08193d73cf81b978b91d6ba76,calibration,pass,docs/DESIGN_GUIDELINES.md,* **Class names**: PascalCase,The project design guidelines impose a concrete class-naming rule.
opensearch-project/opensearch-dashboards,968ead13a95759f89529d44d84d04a8efe3f8af2,calibration,pass,DEVELOPER_GUIDE.md,"All urls, paths, query string parameters, values, and bodies should be `snake_case` formatted.",The developer guide imposes a concrete API naming and formatting rule on project source.
AppAndFlow/react-native-safe-area-context,ae0e83f67bae458e22ce128fd05be01ab1021a03,calibration,not_found,,,The supplied document only points to a generic external contribution guide and provides no code-specific context.
custom-cards/button-card,dfa304f93ab73b41011b624960657c568672e9c9,calibration,review,docs/source/community/contribute.md,"Make sure to use it before submitting a PR or it might get rejected (bad liting, bad formating, etc...)",The contribution document requires an environment because of unnamed linting and formatting checks but exposes no concrete rule or named standard.
