repository,revision,split,status,evidence_path,evidence_quote,rationale
spring-projects/spring-integration,5fa749db2c7cdb36cc2c042b1a9084f76d4fa176,tuning,pass,CONTRIBUTING.md,Use `@since` tags for newly added public API types and methods,A concrete requirement applies to newly added public API code.
brianfrankcooper/ycsb,d9faaac85a95acd4c650a3436ac41eeaeb49c365,holdout,pass,CONTRIBUTING.md,Whitespaces instead of tabs.,The code-style section states a concrete whitespace rule.
google/error-prone,04af48c45e781f26bfdb53854cdeb7e7a12949dc,tuning,review,README.md,Developing and building Error Prone is documented on the,The repository points to an external developer wiki but the supplied documents do not establish whether it contains a coding guideline.
ehcache/ehcache3,a7f07f82e2c6b9aa04b79dfbda1fa2383aa68348,holdout,review,CONTRIBUTING.adoc,(see {uri-wiki}/dev.git[git usage page] as well as the {uri-wiki}/dev.guidelines[developer guidelines]),The repository points to external developer guidelines whose coding content is not present in the supplied documents.
viaversion/viaversion,122b81dd33cd9c78f2a3bf931a1095cd6b5c4cd6,tuning,not_found,,,The complete candidate set contains product and build documentation but no project coding rule.
google/site-kit-wp,867e11124d298a2ae5f9e35f925e8f9986a61b90,tuning,pass,.gemini/styleguide.md,"Code must run on those minimums, so flag usage of anything introduced in a later version unless it is properly feature-detected, version-gated, or polyfilled.",The project review guide imposes a concrete source-compatibility constraint.
fastify/fastify,ff7eff5eec8a820b2c6f79b477e1a784bbf42341,holdout,pass,docs/Guides/Contributing.md,[StandardJS](https://standardjs.com) for code formatting.,The contributing guide identifies the external formatting standard used by project code.
cncf/mentoring,df588ba14bdd69ba965d9cc22dcf7838e8ad87f2,tuning,not_found,,,The complete candidate set contains contribution-process and content rules but no source-code or test-code rule.
alam00000/bentopdf,0447cfc032c3813b325747d471186cdecc216a42,holdout,pass,docs/contributing.md,Use TypeScript for all new code,The code-style section states a concrete language requirement for new source code.
forwardemail/supertest,d7997513dcfb2f918e617f48ea4d56006aa0c3c3,tuning,not_found,,,The complete candidate set contains product documentation and badges but no normative project coding rule.
isaac-sim/IsaacLab,b4c321024792976150ca55fddb26fa34480d974e,tuning,pass,docs/source/refs/contributing.rst,Please refer to the `Google Style Guide <https://google.github.io/styleguide/pyguide.html>`__,The contributing guide explicitly adopts an external coding standard for project code.
opendronemap/webodm,9ed975ae47508374e751e4c0c2bf4c6eb0acbd58,holdout,pass,docs/src/content/docs/contributing.md,Each component should have its own SCSS file.,The project overview includes a concrete source-structure requirement.
pycontribs/jira,bf7306b8b3905c91f97401eaae61d04827e1c309,tuning,pass,docs/contributing.rst,Must follow PEP8 conventions.,The pull-request requirements explicitly adopt PEP 8 for project code.
textualize/textual,06dbeef4bb70fb718236aa418ed658ef4667a126,holdout,pass,CONTRIBUTING.md,"Add docstrings to all of your code (functions, methods, classes, ...).",The guideline imposes a concrete documentation requirement on code elements.
harry0703/MoneyPrinterTurbo,e5bb283d2f3cec00ac9b32c306b0387fbedfb9cb,tuning,pass,test/README.md,"Name files `test_<domain>.py` and keep each file focused on one domain.",The test guide imposes concrete naming and responsibility rules on new test files.
BetterTyped/react-zoom-pan-pinch,70084ddd1a8645136b8c6f18f4e051fa65665af0,tuning,review,Contributing.md,Each contribution must meet the conditions of our linter and formatter.,The document requires automated style checks but does not expose a concrete rule or identify an external standard.
anomalyco/opencode,cd292a4ecbaeedd19239edddca77f86d9727c9ae,holdout,pass,CONTRIBUTING.md,Avoid `else` statements.,The style preferences include a concrete control-flow rule.
openfrontio/OpenFrontIO,3e1de8f7a184193b00c50929bdceb92bcdd9f92e,tuning,pass,CONTRIBUTING.md,All code changes in `src/core` **MUST** be tested to ensure game logic stability.,The coding standards impose a concrete test requirement on a source subtree.
stalniy/casl,f57374df43cf9a30e8c25de14374808333133c15,holdout,pass,CONTRIBUTING.md,All features or bug fixes **must be tested** by one or more specs (unit-tests).,The coding rules impose a concrete test requirement on implementation changes.
Zephyruso/zashboard,29e251637f4d76db7141dedb9da938bb244cd824,tuning,not_found,,,The complete candidate set contains product and deployment documentation but no project coding rule.
