repository,file,github_url,review_origin,llm_decision,human_decision,codex_decision,codex_reason,note
agronholm/anyio,agronholm--anyio/AGENTS.md,https://github.com/agronholm/anyio/blob/003e5d6bc3eba8f4e75bf2b2b5fb3f7dd11e6330/AGENTS.md,existing_166,not_found,pass,pass,Evidence (L17): always add `from __future__ import annotations` as the first import. 理由：引用箇所は，具体的なコード要素間に必要な依存，import，呼び出し，継承，公開範囲，または適用順序を明示しているため．,
apache/incubator-kie-drools,apache--incubator-kie-drools/drools-drl__drools-drl-parser__Developer_Notes.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-drl/drools-drl-parser/Developer_Notes.md,existing_166,pass,pass,pass,"Evidence (L102): In `DRLParser.g4`, define parser rules with a prefix ""drl"" if the rule name conflicts with `JavaParser.g4`. 理由：引用箇所は，ソースコードまたはテストコードに使用する具体的な名称，コード識別子，接頭辞，接尾辞，または命名形式を明示しているため．",
apache/incubator-kie-drools,apache--incubator-kie-drools/drools-drlonyaml-parent__README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-drlonyaml-parent/README.md,codex_added_561,not_found,not_found,not_found,理由：翻訳機能と例の説明のみで，保守対象コードへの永続的な規則がない．,
apache/incubator-kie-drools,apache--incubator-kie-drools/drools-impact-analysis__README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-impact-analysis/README.md,codex_added_561,not_found,not_found,not_found,理由：利用者向けの依存関係設定とAPI使用手順であり，保守対象コードの規則ではない．,
apache/incubator-kie-drools,apache--incubator-kie-drools/drools-metric__README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-metric/README.md,codex_added_561,not_found,not_found,not_found,理由：実行時のログ設定と機能利用の説明であり，ソースコードやテストコードの規則ではない．,
apache/incubator-kie-drools,apache--incubator-kie-drools/drools-model__drools-mvel-compiler__README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-model/drools-mvel-compiler/README.md,existing_166,not_found,not_found,not_found,理由：本文は現在，過去，または計画中の実装，構成，配置，依存関係，または動作を説明しているだけで，継続的な要求，禁止，推奨，または許可を明示していないため．,
apache/incubator-kie-drools,apache--incubator-kie-drools/drools-mvel__README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-mvel/README.md,existing_166,not_found,not_found,not_found,理由：本文は現在，過去，または計画中の実装，構成，配置，依存関係，または動作を説明しているだけで，継続的な要求，禁止，推奨，または許可を明示していないため．,
apache/incubator-kie-drools,apache--incubator-kie-drools/drools-reliability__README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-reliability/README.md,codex_added_561,not_found,not_found,not_found,理由：利用者側の依存関係，API利用，実行時設定を扱っており，保守対象コードの規則ではない．,
apache/incubator-kie-drools,apache--incubator-kie-drools/drools-retediagram__README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-retediagram/README.md,codex_added_561,not_found,not_found,not_found,理由：APIの利用例と実行時JVM設定であり，保守対象コードに適用される永続的な規則ではない．,
apache/incubator-kie-drools,apache--incubator-kie-drools/drools-scenario-simulation__drools-scenario-simulation-backend__Developer_Guide.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-scenario-simulation/drools-scenario-simulation-backend/Developer_Guide.md,codex_added_561,not_found,not_found,not_found,理由：バックエンドの現在の構成と実装方式を記述するのみで，明示的な規則ではない．,
apache/incubator-kie-drools,apache--incubator-kie-drools/drools-traits__README.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/drools-traits/README.md,existing_166,not_found,not_found,not_found,理由：本文は現在，過去，または計画中の実装，構成，配置，依存関係，または動作を説明しているだけで，継続的な要求，禁止，推奨，または許可を明示していないため．,
apache/incubator-kie-drools,apache--incubator-kie-drools/efesto__EfestoDeveloperGuide.md,https://github.com/apache/incubator-kie-drools/blob/1b022f1d61ba2674d07739f01d6ddf91c37fcea3/efesto/EfestoDeveloperGuide.md,existing_166,pass,pass,pass,"Evidence (L68): The plugin should implement **org.kie.efesto.compilationmanager.api.service.KieCompilerService** and/or **org.kie.efesto.runtimemanager.api.KieRuntimeService**, that are discovered at execution with SPI. 理由：引用箇所は，ソースコードまたはテストコードが維持すべき具体的な言語，ランタイム，プラットフォーム，API，またはバージョンの互換性を明示しているため．",
